,date,url_match,most_kills,most_damage,most_assists,most_awp_kills,most_first_kills,best_rating
0,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141097/megazord-vs-b4,t9rnay:24,t9rnay:93.9,matios:6,cass1n:9,cass1n:5,t9rnay:1.51
1,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141095/b4-vs-megazord,mlhzin:32,mlhzin:90.4,kye:10,supLex:18,cass1n:7,mlhzin:1.38
2,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141098/spirit-academy-vs-vpprodigy,latt1kk:23,latt1kk:100.3,Flash_1:4,latt1kk:14,zont1x:5,latt1kk:1.70
3,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141093/vpprodigy-vs-spirit-academy,latt1kk:31,latt1kk:85.5,lom1k:8,ArtFr0st:21,latt1kk:6,latt1kk:1.42
4,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141092/big-academy-vs-ence-academy,Aqua:26,Aqua:100.0,prosus:6,hyped:13,s1n:5,Aqua:1.57
5,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141090/young-ninjas-vs-og-academy,Marix:26,Dementor:103.7,adamb:7,shaiK:6,Dementor:4,Dementor:1.52
6,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141089/astralis-talent-vs-navi-junior,headtr1ck:26,headtr1ck:114.9,UNBR0KEN:5,headtr1ck:17,nipl:9,headtr1ck:1.94
7,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141091/iron-branch-vs-monte,rallen:31,rallen:108.2,joel:6,Woro2k:14,REDSTAR:5,rallen:1.58
8,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141088/monte-vs-iron-branch,BOROS:27,joel:104.1,rallen:10,Woro2k:14,j3kie:4,joel:1.55
9,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141087/ence-academy-vs-apeks-rebels,podi:27,podi:126.9,myltsi:7,podi:17,podi:5,podi:2.01
10,28/7/22,https://www.hltv.org/stats/matches/mapstatsid/141086/spirit-academy-vs-eternal-fire-academy,donk:19,donk:115.8,zont1x:4,ArtFr0st:11,ArtFr0st:3,donk:1.92
11,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141084/eternal-fire-academy-vs-prospects,Wicadia:31,Wicadia:117.3,EMSTAR:9,hype:12,cyber:6,Wicadia:1.61
12,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141085/tag-vs-avangar,faydett:22,faydett:104.0,FpSSS:5,ICY:18,kade0:5,faydett:1.52
13,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141083/avangar-vs-tag,ICY:34,ICY:102.7,w1nt3r:8,ICY:17,Synyx:5,ICY:1.58
14,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141081/tag-vs-avangar,Get_Jeka:22,Get_Jeka:125.9,SELLTER:6,FpSSS:7,FpSSS:4,Get_Jeka:2.03
15,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141082/navi-junior-vs-spirit-academy,nipl:27,nipl:104.2,Dem0N:5,ArtFr0st:14,headtr1ck:5,nipl:1.42
16,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141079/prospects-vs-mouz-nxt,FRANSSON:23,AlekS:92.0,AlekS:4,mhL:17,AlekS:5,FRANSSON:1.37
17,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141078/og-academy-vs-ence-academy,s0und:26,oxygeN:94.9,HENU:6,podi:12,HENU:7,oxygeN:1.36
18,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141076/mouz-nxt-vs-spirit-academy,xertioN:17,szejn:120.2,szejn:6,mhL:10,szejn:6,szejn:1.77
19,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141080/avangar-vs-iron-branch,sad:26,sad:87.2,MaSvAl:8,SENSEi:17,ice:4,sad:1.36
20,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141077/iron-branch-vs-avangar,w1nt3r:27,w1nt3r:116.3,MaSvAl:7,ICY:17,Kvem:4,ICY:1.61
21,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141075/avangar-vs-iron-branch,SENSEi:27,SENSEi:107.9,ICY:5,SENSEi:22,ICY:7,SENSEi:1.69
22,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141074/ec-kyiv-vs-websterz,s4ltovsk1yy:26,byr9:96.4,byr9:7,s4ltovsk1yy:8,Smash:6,s4ltovsk1yy:1.67
23,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141073/ec-kyiv-vs-websterz,killmatic:28,killmatic:105.2,aNsavage:4,killmatic:14,byr9:5,killmatic:1.62
24,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141072/websterz-vs-ec-kyiv,uQlutzavr:23,uQlutzavr:115.3,Magnojez:7,killmatic:11,Smash:4,uQlutzavr:1.65
25,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141071/astralis-talent-vs-eternal-fire-academy,Fessor:27,Fessor:105.0,Fessor:7,Cizzx:10,jottAAA:7,Fessor:1.42
26,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141069/prospects-vs-navi-junior,nipl:28,nipl:102.8,UNBR0KEN:6,headtr1ck:10,nipl:7,nipl:1.51
27,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141070/spirit-academy-vs-websterz,donk:29,donk:103.1,zont1x:6,ArtFr0st:14,donk:7,donk:1.60
28,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141068/websterz-vs-spirit-academy,zont1x:26,zont1x:123.2,OWNER:5,killmatic:10,ArtFr0st:6,zont1x:1.87
29,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141067/big-academy-vs-young-ninjas,Aqua:27,Aqua:95.8,Aqua:7,hyped:12,adamb:5,Aqua:1.46
30,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141066/mouz-nxt-vs-astralis-talent,siuhy:26,siuhy:87.7,szejn:7,mhL:13,Fessor:8,siuhy:1.33
31,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141064/young-ninjas-vs-apeks-rebels,maxster:32,maxster:112.4,ztr:5,eraa:10,sense:5,maxster:1.84
32,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141065/ec-kyiv-vs-vpprodigy,latt1kk:22,r3salt:94.1,Flash_1:8,latt1kk:12,r3salt:5,latt1kk:1.62
33,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141062/vpprodigy-vs-ec-kyiv,r3salt:29,r3salt:95.3,byr9:8,latt1kk:17,r3salt:9,r3salt:1.38
34,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141061/monte-vs-tag,faydett:25,faydett:90.4,BOROS:4,Woro2k:10,faydett:8,faydett:1.32
35,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141056/tag-vs-monte,BOROS:56,BOROS:102.3,faydett:16,FpSSS:37,BOROS:11,BOROS:1.48
36,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141055/oddik-vs-meta-br,skullz:23,naitte:96.9,vLa:6,remix:13,desh:6,skullz:1.39
37,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141054/meta-br-vs-oddik,naitte:22,naitte:95.3,naitte:5,remix:11,naitte:5,naitte:1.40
38,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141050/oddik-vs-stars-horizon,UnK:42,UnK:89.1,hoax:8,remix:30,naitte:8,UnK:1.26
39,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141049/stars-horizon-vs-oddik,GYZER:25,naitte:84.0,remix:3,remix:13,skullz:5,GYZER:1.35
40,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141048/big-academy-vs-apeks-rebels,prosus:23,skyye:125.6,s1n:3,berzerk:5,prosus:4,prosus:2.05
41,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141047/spirit-academy-vs-prospects,donk:23,OWNER:110.2,OWNER:7,ArtFr0st:12,zont1x:7,OWNER:1.57
42,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141046/mouz-nxt-vs-eternal-fire-academy,mhL:24,xertioN:115.6,siuhy:6,mhL:15,xertioN:5,xertioN:1.77
43,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141045/og-academy-vs-young-ninjas,eraa:23,LNZ:95.5,shaiK:5,eraa:6,eraa:7,eraa:1.50
44,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141042/navi-junior-vs-astralis-talent,nipl:38,nipl:102.3,Altekz:7,headtr1ck:21,nipl:7,nipl:1.49
45,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141041/bhop-vs-doing-fun,brett:28,brett:103.0,Walco:8,wiz:8,HexT:6,brett:1.47
