,name,k_hs,a_f,d,kast,kd_diff,adr,fk_diff,rating,date,url_match
0,The Union_DANVIET,23 (11),7 (1),21,76.7%,+2,91.4,+2,1.23,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
1,The Union_gon,26 (13),7 (5),20,80.0%,+6,81.7,-1,1.21,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
2,The Union_paiva,25 (13),5 (1),20,70.0%,+5,92.4,-1,1.17,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
3,The Union_Lcmm,17 (4),7 (5),16,73.3%,+1,61.2,0,1.04,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
4,The Union_roz,18 (5),6 (2),16,76.7%,+2,60.4,-2,0.99,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
5,The Union_delboNi,17 (8),7 (1),20,76.7%,-3,75.2,0,1.06,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
6,The Union_SHOOWTiME,23 (11),5 (3),24,56.7%,-1,82.1,0,0.98,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
7,The Union_zqkS,13 (6),8 (3),17,70.0%,-4,56.2,+2,0.93,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
8,The Union_ckzao,20 (11),5 (1),23,56.7%,-3,79.9,+2,0.92,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
9,The Union_danoco,19 (7),7 (1),25,60.0%,-6,71.9,-2,0.89,30/7/22,https://www.hltv.org/stats/matches/mapstatsid/141152/the-union-vs-corinthians
