,name,flag,maps_count,kd_diff,kd_ratio,rating,url,wins,draws,losses,total_kills,total_deaths,rounds_played
0,TYLOO,China,1281,+11678,1.11,1.06,https://www.hltv.org/stats/teams/4863/tyloo,853 , 1 , 427,119722,108044,33172
1,Renegades,Australia,1066,+4642,1.05,1.05,https://www.hltv.org/stats/teams/6211/renegades,630 , 0 , 436,95413,90771,27689
2,ViCi,China,731,+5761,1.09,1.05,https://www.hltv.org/stats/teams/7606/vici,478 , 0 , 253,67063,61302,18926
3,ORDER,Australia,873,+9638,1.14,1.05,https://www.hltv.org/stats/teams/8668/order,588 , 0 , 285,80080,70442,22370
4,Vitality,France,801,+3485,1.05,1.05,https://www.hltv.org/stats/teams/9565/vitality,495 , 2 , 304,71746,68261,21067
5,Space Soldiers,Turkey,804,+6008,1.09,1.04,https://www.hltv.org/stats/teams/5929/space-soldiers,498 , 1 , 305,74000,67992,20835
6,MIBR,Brazil,775,+2993,1.05,1.04,https://www.hltv.org/stats/teams/9215/mibr,410 , 8 , 357,69271,66278,20492
7,FURIA,Brazil,966,+6867,1.09,1.04,https://www.hltv.org/stats/teams/8297/furia,599 , 3 , 364,87182,80315,25119
8,Liquid,United States,1615,+8570,1.06,1.04,https://www.hltv.org/stats/teams/5973/liquid,963 , 1 , 651,146309,137739,42313
9,Astralis,Denmark,1328,+10467,1.09,1.04,https://www.hltv.org/stats/teams/6665/astralis,862 , 2 , 464,121125,110658,34889
10,FaZe,Europe,1320,+5259,1.05,1.04,https://www.hltv.org/stats/teams/6667/faze,749 , 5 , 566,119561,114302,35033
11,North,Denmark,822,+1228,1.02,1.04,https://www.hltv.org/stats/teams/7533/north,453 , 2 , 367,73594,72366,21947
12,HellRaisers,CIS,1801,+3399,1.02,1.03,https://www.hltv.org/stats/teams/5310/hellraisers,938 , 6 , 857,162120,158721,47455
13,NIP,Sweden,2078,+11730,1.07,1.03,https://www.hltv.org/stats/teams/4411/nip,1233 , 13 , 832,186509,174779,53547
14,BIG,Germany,1229,+2227,1.02,1.03,https://www.hltv.org/stats/teams/7532/big,681 , 2 , 546,110678,108451,32836
15,fnatic,Sweden,1889,+7881,1.05,1.03,https://www.hltv.org/stats/teams/4991/fnatic,1118 , 8 , 763,172427,164546,49796
16,G2,France,1579,+3954,1.03,1.03,https://www.hltv.org/stats/teams/5995/g2,865 , 1 , 713,143709,139755,42092
17,MOUZ,Europe,1947,+7197,1.04,1.03,https://www.hltv.org/stats/teams/4494/mouz,1105 , 5 , 837,175568,168371,51173
18,Complexity,Europe,1374,+994,1.01,1.03,https://www.hltv.org/stats/teams/5005/complexity,685 , 2 , 687,122716,121722,36225
19,forZe,Russia,1528,+9343,1.07,1.03,https://www.hltv.org/stats/teams/8135/forze,905 , 1 , 622,142487,133144,41181
20,Dignitas,Sweden,1484,+2427,1.02,1.02,https://www.hltv.org/stats/teams/5422/dignitas,810 , 0 , 674,133830,131403,39117
21,Kinguin,Poland,859,+5225,1.07,1.02,https://www.hltv.org/stats/teams/6134/kinguin,491 , 0 , 368,79310,74085,22621
22,Luminosity,Brazil,888,+3351,1.04,1.02,https://www.hltv.org/stats/teams/6290/luminosity,492 , 0 , 396,79540,76189,22977
23,Cloud9,United States,1381,+5532,1.05,1.02,https://www.hltv.org/stats/teams/5752/cloud9,798 , 3 , 580,124010,118478,35956
24,FlipSid3,Russia,791,-1657,0.98,1.02,https://www.hltv.org/stats/teams/5988/flipsid3,369 , 0 , 422,69204,70861,20531
25,Chiefs,Australia,1019,+7005,1.08,1.02,https://www.hltv.org/stats/teams/6010/chiefs,637 , 2 , 380,92460,85455,26140
26,TeamOne,Brazil,1064,+2994,1.03,1.02,https://www.hltv.org/stats/teams/6947/teamone,582 , 0 , 482,95442,92448,27603
